#OTU ID	N_ZJ_NB_1	N_ZJ_NB_2	N_ZJ_NB_3	N_HB_X_1	N_HB_X_2	N_HB_X_3	N_HB_Y_1	N_HB_Y_2	N_HB_Y_3	N_HN_C_1	N_HN_C_2	N_HN_C_3	N_HN_M_1	N_HN_M_2	N_HN_M_3	N_HN_Y_2	N_HN_Y_3	N_JS_W_1	N_JS_W_2	N_JS_W_3	M_ZJ_NY_1	M_ZJ_NY_2	M_ZJ_NY_3	M_JL_T_1	M_JL_T_2	M_JL_T_3	M_JS_NX_1	M_JS_NX_2	M_JS_NX_3	M_ZJ_NB_1	M_ZJ_NB_2	M_ZJ_NB_3	M_GX_G_1	M_GX_G_2	M_GX_G_3	M_USA_1	M_USA_2	M_USA_3	M_ZJ_HA_1	M_ZJ_HA_2	M_ZJ_HA_3	M_ZJ_HC_1	M_ZJ_HC_2	M_ZJ_HC_3	M_ZJ_HD_1	M_ZJ_HD_2	M_ZJ_HD_3	M_ZJ_HT_1	M_ZJ_HT_2	M_ZJ_HT_3	M_ZJ_JP_1	M_ZJ_JP_2	M_ZJ_JP_3	M_ZJ_JW_1	M_ZJ_JW_2	M_ZJ_JW_3	M_ZJ_LJ_1	M_ZJ_LJ_2	M_ZJ_LJ_3	M_ZJ_LL_1	M_ZJ_LL_2	M_ZJ_LL_3	M_ZJ_QJ_1	M_ZJ_QJ_2	M_ZJ_QJ_3	M_ZJ_SS_1	M_ZJ_SS_2	M_ZJ_SS_3	M_ZJ_TL_1	M_ZJ_TL_2	M_ZJ_TL_3	M_ZJ_TT_1	M_ZJ_TT_2	M_ZJ_TT_3	M_ZJ_WP_1	M_ZJ_WP_2	M_ZJ_WP_3	M_ZJ_WY_1	M_ZJ_WY_2	M_ZJ_WY_3	M_ZJ_ZD_1	M_ZJ_ZD_2	M_ZJ_ZD_3	N_USA_1	N_USA_2	N_USA_3	N_ZJ_LJ_1	N_ZJ_LJ_2	N_ZJ_LJ_3	kindom	phylum	class	order	family	genus
ZOTU_1	0	0	0	0	0	0	0.003525681	0.003720281	0	0.005357204	0	4.57881E-05	2.2894E-05	0	0.000309069	0	2.2894E-05	0	0	0	0.027736123	0.319726645	0.028068087	0.000309069	0.014297325	0.011137948	0.771151227	0.620645841	0.706464131	0.013358669	0.0082533	0.010451127	0.023077187	0.032681235	0.023569409	0.0015339	0.000869973	0.001236278	0.00663927	0.008940121	0.003205165	0.077381838	0.111906043	0.037912522	0.055781316	0.025503955	0.285351252	0.003239506	0.0032624	0.005036688	0.167504207	0.257729599	0.216531783	0.040121796	0.049016129	0.011904898	0.006662164	0.012523037	0.009729965	0.005288522	0.005734956	0.008802756	0.05983356	0.073501299	0.125035772	0.001430877	0.001900205	0.001041679	0.003113589	0.003571469	0.016289106	0.019402695	0.086665369	0.025893154	0.054899896	0.102920134	0.054293204	0.007967124	0.008138829	0.059936584	0.00521984	0.00871118	0.00686821	0	0	0	0	0	0	d:Fungi	p:Ascomycota				
ZOTU_2	0.005231287	0	0	0	0	0	0.00053801	0.000412093	0	0.000686821	0	0.007772525	4.57881E-05	5.72351E-05	0.003273847	0.008276194	1.1447E-05	0	0	2.2894E-05	4.57881E-05	2.2894E-05	2.2894E-05	0.000549457	0.015705308	0.015327556	0.104362458	0.12181916	0.090763402	0.662702183	0.7702927	0.677217001	0.001636923	0.002667155	0.001877311	0.01251159	0.013404457	0.01588846	0.002678602	0.005174052	0.002140592	0.008985909	0.005700615	0.008081594	0.002163486	0.004464337	0.01001614	0.069094198	0.220595474	0.152348356	0.002152039	0.006169942	0.004246843	8.01291E-05	0.000137364	9.15761E-05	0.009638389	0.019906363	0.015751096	0.062660974	0.105953594	0.12496709	0.004979453	0.006776634	0.005597592	0	4.57881E-05	1.1447E-05	0.007658055	0.014228643	0.015522156	0.250014309	0.124829726	0.081125013	0.006238625	0.007623714	0.005780744	0.002152039	0.002884648	0.002438215	0.172025779	0.151260889	0.15628613	0.001453771	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Diplodia
ZOTU_3	2.2894E-05	0	0	0	0	0	0	0	0	0	0	2.2894E-05	1.1447E-05	0	0	4.57881E-05	0	0	0	0	0.013518928	0.011012031	0.009306425	0	5.72351E-05	2.2894E-05	6.86821E-05	3.43411E-05	9.15761E-05	0.001465218	0.000125917	0.001453771	0	0	0	8.01291E-05	1.1447E-05	6.86821E-05	0.272473357	0.311667945	0.298126123	0.024897263	0.01673554	0.033219245	0.018761662	0.019597294	0.052690621	0.343399077	0.638331483	0.710550716	0.053526254	0.043098021	0.020123857	0.010393892	0.00218638	0.004613148	5.72351E-05	0.000503669	2.2894E-05	0.002678602	0.015487815	0.014320219	0.001499559	0.001247725	0.001316407	0.000377752	0.000103023	5.72351E-05	0.019185201	0.032681235	0.035394178	1.1447E-05	0	0	0.012694742	0.01489257	0.010577044	0.021371582	0.016930139	0.016403576	0.005746403	0.008539475	0.014720864	2.2894E-05	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales		
ZOTU_4	8.01291E-05	0	0	0	0	0	1.1447E-05	1.1447E-05	0	2.2894E-05	0	0.000103023	0	4.57881E-05	0.010886114	1.1447E-05	1.1447E-05	0	0	2.2894E-05	0	0	0	0.705674287	0.607870969	0.567279845	0.006078366	0.008848545	0.007898442	0.008539475	0.006044025	0.005116817	8.01291E-05	5.72351E-05	0.000194599	0.006192836	0.006879658	0.000320516	0.33368056	0.236174865	0.352671162	0.008184617	0.004807747	0.017273549	0.005265628	0.005139711	0.009352213	0	3.43411E-05	1.1447E-05	0.006994128	0.010462574	0.007211621	0.010634279	0.002358086	0.00533431	0.004235396	0.007509243	0.010405339	8.01291E-05	0.000137364	0.000125917	0.00022894	0.000160258	0.000274728	0	1.1447E-05	0	0.000675374	0.000972996	0.000206046	0.039835621	0.015224533	0.012076603	4.57881E-05	0	0	5.72351E-05	5.72351E-05	1.1447E-05	0.02467977	0.009409448	0.018349569	5.72351E-05	0	0	0	1.1447E-05	0	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Pichiaceae	g:Nakazawaea
ZOTU_5	0	0	0	0	0	0	0	0	0	1.1447E-05	0	0	0	1.1447E-05	0	0	0	0	0	0	0.013381563	0.075435845	0.01370208	1.1447E-05	0	1.1447E-05	1.1447E-05	1.1447E-05	0	0	1.1447E-05	3.43411E-05	0	0	0	0	0	0	0.00380041	0.003811857	0.002918989	0.000732609	0.000480775	0.000583798	0.347863414	0.385546996	0.247026637	0.005712062	0.008871439	0.002232168	0.163532092	0.023283234	0.08528028	0.011618723	0.002690049	0.004510125	0.000194599	0.00011447	0.001442324	0.012294097	0.000606692	0.002712943	0.000183152	0.000103023	0.000240387	0.397863987	0.500658204	0.422600991	0.005929555	0.007692396	0.004521572	0	0	0	0.029521858	0.023821243	0.04751657	0.000480775	0.000515116	0.000400646	0.000240387	0.00022894	0.00022894	0	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Leptographium
ZOTU_6	1.1447E-05	0	0	0	0	0	0.000148811	2.2894E-05	0	0.000148811	0	6.86821E-05	0	0	1.1447E-05	3.43411E-05	4.57881E-05	0	0	0	0.079282043	0.046497785	0.080449639	4.57881E-05	0.003674493	0.003319635	0.000927208	0.001293513	0.00119049	0.001831523	0.001247725	0.002300851	0.012259756	0.023672432	0.012431461	0.002243615	0.001694159	0.002552685	0.004693277	0.008001465	0.003434105	0.108105633	0.148101512	0.074565872	0.071727012	0.152611637	0.111951831	0.087466661	0.009191955	0.037385959	0.011595829	0.253345391	0.204935954	0.017136185	0.007394773	0.004395655	0.003869092	0.000457881	0.002152039	0.011115054	0.040694147	0.078377729	0.002461109	0.002999119	0.007474902	0.000641033	0.001499559	0.000732609	0.096315205	0.016678304	0.009008803	0.001282066	0.15237125	0.123685024	0.131514784	0.099623393	0.173811513	0.006307307	0.007921336	0.027060749	0.00533431	0.01435456	0.059329892	0	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Kuraishia
ZOTU_7	0	3.43411E-05	3.43411E-05	0	4.57881E-05	4.57881E-05	0.002438215	0	0	4.57881E-05	2.2894E-05	5.72351E-05	0.006021131	0.005597592	2.2894E-05	1.1447E-05	0.00706281	0	0	0.001282066	0	0	0	4.57881E-05	0.006421777	0.008997356	0.007257409	0.011343994	0.011080713	0.0097872	0.00510537	0.008493687	0	3.43411E-05	2.2894E-05	0	1.1447E-05	2.2894E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1447E-05	0.686729473	0.802905253	0.649572454	1.1447E-05	0	0	0	1.1447E-05	0	0	0	0	0.000331964	6.86821E-05	0.000389199	0.008379217	0	6.86821E-05	0	0	0	0	0	0	0	0	1.1447E-05	0	6.86821E-05	6.86821E-05	2.2894E-05	0.001396536	0.01097769	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Fomitopsidaceae	g:Fomitopsis
ZOTU_8	3.43411E-05	0	0	0	0	0	0	0	0	0	0	3.43411E-05	0	0	0	0	0	0	0	0	0.007898442	0.011527147	0.008218959	2.2894E-05	2.2894E-05	5.72351E-05	1.1447E-05	1.1447E-05	3.43411E-05	0.000206046	0.000286175	0.000309069	2.2894E-05	1.1447E-05	2.2894E-05	0.00053801	0.000698268	0.000240387	0.007841207	0.009146167	0.004155267	0.016186083	0.010886114	0.013427352	0.016529493	0.000492222	0.000286175	0.000274728	0.000125917	0.000240387	0.000240387	0.000286175	0.000137364	0.000286175	0.000125917	0.000137364	1.1447E-05	0	0	0.004418549	0.003628705	0.005242734	0.007108598	0.008802756	0.007234515	0.000103023	8.01291E-05	0.000125917	0.006444671	0.008413558	0.00848224	0	2.2894E-05	1.1447E-05	0.000286175	0.000446434	0.000217493	0.000377752	0.000331964	0.000171705	0.613594478	0.560205588	0.498666422	0	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales		
ZOTU_9	0	0.005597592	0.590666102	0	0.002815966	0.003044907	0	0	0.004384208	0	0.003411211	0	0	0	0	1.1447E-05	0	0.00011447	0.003216612	0	0	0	0	0	0	0	0	0	0	3.43411E-05	2.2894E-05	3.43411E-05	1.1447E-05	0	2.2894E-05	0.00065248	0.000366305	0.000469328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1447E-05	0	0	0	0	1.1447E-05	0	0	0	0	0	0	0	0	0	2.2894E-05	0	0	0	0	0	0	0	0	0	0	0	0.288522076	0.521766504	0.589750341	0	0.074417061	d:Fungi	p:Ascomycota	c:Eurotiomycetes			
ZOTU_10	5.72351E-05	0	0	0	0	0	0.002472556	0.010760196	0	0.003708834	0	3.43411E-05	4.57881E-05	0	4.57881E-05	0.000400646	1.1447E-05	0	0	1.1447E-05	0	0	0	0	0.000103023	0.000217493	0.021360135	0.016643963	0.01915086	0.000171705	0.000171705	0.000160258	0.50205474	0.446960245	0.481473002	0.012065156	0.007257409	0.011034925	0	1.1447E-05	1.1447E-05	4.57881E-05	8.01291E-05	4.57881E-05	1.1447E-05	0	0	0	3.43411E-05	1.1447E-05	3.43411E-05	0.00011447	6.86821E-05	0	0	0	0.000160258	0.000927208	0.00011447	0.000366305	4.57881E-05	0.00011447	1.1447E-05	0	0.000309069	0	0	0	0	0	0	0.000217493	0.009031697	0.008241853	0.001041679	0.000972996	0.000572351	2.2894E-05	3.43411E-05	3.43411E-05	3.43411E-05	0	2.2894E-05	0	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron
