	N_ZJ_NY_1	N_ZJ_NY_2	N_ZJ_NY_3	N_JL_T_1	N_JL_T_2	N_JL_T_3	N_JS_NX_1	N_JS_NX_2	N_JS_NX_3	N_ZJ_NB_1	N_ZJ_NB_2	N_ZJ_NB_3	N_AH_C_1	N_AH_C_2	N_AH_C_3	N_CQ_W_1	N_CQ_W_2	N_CQ_W_3	N_GX_G_1	N_GX_G_2	N_GX_G_3	N_HB_X_1	N_HB_X_2	N_HB_X_3	N_HB_Y_1	N_HB_Y_2	N_HB_Y_3	N_HN_C_1	N_HN_C_2	N_HN_C_3	N_HN_H_1	N_HN_H_2	N_HN_H_3	N_HN_M_1	N_HN_M_2	N_HN_M_3	N_HN_Y_1	N_HN_Y_2	N_HN_Y_3	N_JL_J_1	N_JL_J_2	N_JS_W_1	N_JS_W_2	N_JS_W_3	N_SC_L_1	N_SC_L_2	N_SC_L_3	N_SN_X_1	N_SN_X_2	N_SN_X_3	N_USA_1	N_USA_2	N_USA_3	N_ZJ_HA_1	N_ZJ_HA_2	N_ZJ_HA_3	N_ZJ_HC_1	N_ZJ_HC_2	N_ZJ_HC_3	N_ZJ_HD_1	N_ZJ_HD_2	N_ZJ_HD_3	N_ZJ_HT_1	N_ZJ_HT_2	N_ZJ_HT_3	N_ZJ_J_1	N_ZJ_J_2	N_ZJ_J_3	N_ZJ_JP_1	N_ZJ_JP_2	N_ZJ_JP_3	N_ZJ_JW_1	N_ZJ_JW_2	N_ZJ_JW_3	N_ZJ_LJ_1	N_ZJ_LJ_2	N_ZJ_LJ_3	N_ZJ_LL_1	N_ZJ_LL_2	N_ZJ_LL_3	N_ZJ_QJ_1	N_ZJ_QJ_2	N_ZJ_QJ_3	N_ZJ_SS_1	N_ZJ_SS_2	N_ZJ_SS_3	N_ZJ_TL_1	N_ZJ_TL_2	N_ZJ_TL_3	N_ZJ_TT_1	N_ZJ_TT_2	N_ZJ_TT_3	N_ZJ_WP_1	N_ZJ_WP_2	N_ZJ_WP_3	N_ZJ_WY_1	N_ZJ_WY_2	N_ZJ_WY_3	N_ZJ_ZD_1	N_ZJ_ZD_2	N_ZJ_ZD_3	M_ZJ_NY_1	M_ZJ_NY_2	M_ZJ_NY_3	M_JL_T_1	M_JL_T_2	M_JL_T_3	M_JS_NX_1	M_JS_NX_2	M_JS_NX_3	M_ZJ_NB_1	M_ZJ_NB_2	M_ZJ_NB_3	M_GX_G_1	M_GX_G_2	M_GX_G_3	M_USA_1	M_USA_2	M_USA_3	M_ZJ_HA_1	M_ZJ_HA_2	M_ZJ_HA_3	M_ZJ_HC_1	M_ZJ_HC_2	M_ZJ_HC_3	M_ZJ_HD_1	M_ZJ_HD_2	M_ZJ_HD_3	M_ZJ_HT_1	M_ZJ_HT_2	M_ZJ_HT_3	M_ZJ_JP_1	M_ZJ_JP_2	M_ZJ_JP_3	M_ZJ_JW_1	M_ZJ_JW_2	M_ZJ_JW_3	M_ZJ_LJ_1	M_ZJ_LJ_2	M_ZJ_LJ_3	M_ZJ_LL_1	M_ZJ_LL_2	M_ZJ_LL_3	M_ZJ_QJ_1	M_ZJ_QJ_2	M_ZJ_QJ_3	M_ZJ_SS_1	M_ZJ_SS_2	M_ZJ_SS_3	M_ZJ_TL_1	M_ZJ_TL_2	M_ZJ_TL_3	M_ZJ_TT_1	M_ZJ_TT_2	M_ZJ_TT_3	M_ZJ_WP_1	M_ZJ_WP_2	M_ZJ_WP_3	M_ZJ_WY_1	M_ZJ_WY_2	M_ZJ_WY_3	M_ZJ_ZD_1	M_ZJ_ZD_2	M_ZJ_ZD_3
N_ZJ_NY_1	0	0.754440836	0.943182733	0.919196266	0.919289247	0.92641922	0.922646565	0.927985134	0.923623883	0.948132017	0.93094104	0.934406322	0.947597227	0.939703745	0.944974853	0.945843624	0.964386122	0.94696787	0.9314899	0.949964718	0.942071596	0.960800678	0.947583387	0.943235619	0.944934382	0.912479273	0.948439604	0.944050985	0.9321311	0.942151809	0.91726939	0.937122453	0.93844628	0.945242203	0.91241313	0.936466248	0.949643955	0.940948131	0.934540126	0.944840651	0.941683014	0.937791237	0.942728026	0.935436589	0.969858157	0.93819275	0.940359574	0.945175837	0.941684083	0.937791249	0.936399724	0.920051556	0.920547345	0.97186482	0.974728191	0.962300012	0.96318324	0.97162501	0.964373426	0.940922368	0.852654712	0.950794584	0.955074911	0.946218814	0.952908534	0.959182427	0.938594263	0.907355738	0.901109809	0.924574547	0.838180252	0.955530165	0.943168794	0.903383091	0.915008346	0.91234628	0.926044693	0.908173067	0.856494958	0.919169911	0.943569964	0.950887923	0.953469817	0.857015772	0.852922619	0.828520683	0.957296762	0.969523335	0.961992114	0.94759708	0.939984516	0.935463227	0.956694788	0.961176548	0.960895236	0.959864387	0.942741094	0.955276406	0.955918695	0.967236465	0.964814928	0.974808143	0.974112475	0.971396977	0.966058122	0.963877462	0.968292721	0.96802501	0.97510201	0.973162089	0.968225174	0.975475969	0.974807498	0.976600328	0.976118394	0.983155685	0.958232555	0.95567686	0.960520039	0.961603227	0.962179063	0.960466669	0.966099025	0.966674279	0.966727634	0.975797993	0.976988288	0.981871472	0.969269804	0.972279382	0.9716779	0.962513727	0.960413578	0.961028893	0.971490094	0.97157016	0.968493816	0.961536942	0.968037796	0.968987922	0.974807978	0.964854702	0.972453212	0.971570693	0.976467113	0.973162673	0.978513843	0.98014618	0.971423479	0.96365107	0.955489966	0.95883486	0.957817176	0.966539775	0.959877639	0.967476805	0.968667953	0.975075805	0.970848358	0.974179408	0.966968877	0.973015454	0.972400101	0.967597499
N_ZJ_NY_2	0.754440836	0	0.925002264	0.936560748	0.938526771	0.924199246	0.920346429	0.960814824	0.930901812	0.975824669	0.927021044	0.956920834	0.974232852	0.906379633	0.965870856	0.941322356	0.983249369	0.97595793	0.929549907	0.977710625	0.972452981	0.970018264	0.935275725	0.945670096	0.97007135	0.933831153	0.973991442	0.935489268	0.931877036	0.964599137	0.938178945	0.94747706	0.941054706	0.955610317	0.892453245	0.969469403	0.950179291	0.963008366	0.957175384	0.957442404	0.942980993	0.961804179	0.956881123	0.940439727	0.977403416	0.960854136	0.957830973	0.946500299	0.964907953	0.961550627	0.96660704	0.920412503	0.946205939	0.98482825	0.986848619	0.979571185	0.98476201	0.982715485	0.985403814	0.963718626	0.865497371	0.970178948	0.974740624	0.961790215	0.973108775	0.975891071	0.948948504	0.886205246	0.892507801	0.928614959	0.883865408	0.971181734	0.9628478	0.936573922	0.930138702	0.890098871	0.913576541	0.912119021	0.880561329	0.937229773	0.95005823	0.967222065	0.968586988	0.854768454	0.848828788	0.820333774	0.977283068	0.983235635	0.979209506	0.970593152	0.958673563	0.946299162	0.974473626	0.969537498	0.971824972	0.97606477	0.959583481	0.975998352	0.981363566	0.977497366	0.978206561	0.985336673	0.985537415	0.983891998	0.981724358	0.980318967	0.984079071	0.978245961	0.984975402	0.984052366	0.981643785	0.981282021	0.986192322	0.983664152	0.985389735	0.988988886	0.980827898	0.973549559	0.982339194	0.978205414	0.978446365	0.976961625	0.983316719	0.98271443	0.983811349	0.984280068	0.983798184	0.985591014	0.982621206	0.984092381	0.983958902	0.981630669	0.98120266	0.982099174	0.985724732	0.984186129	0.98347719	0.981336022	0.983569709	0.982914434	0.98187187	0.985256175	0.984988964	0.984948798	0.986461025	0.984039235	0.985149412	0.987276992	0.984039074	0.982125897	0.980239117	0.981430179	0.976814181	0.98038578	0.98100127	0.982741349	0.982487186	0.983383688	0.984748051	0.984761791	0.982861817	0.984226473	0.983356916	0.982045754
N_ZJ_NY_3	0.943182733	0.925002264	0	0.93519438	0.936345226	0.924185166	0.945749587	0.939020928	0.940117732	0.955515933	0.954043931	0.9537634	0.939181732	0.914272685	0.946499087	0.901576165	0.904292312	0.951809792	0.948746307	0.952693161	0.959689572	0.903021451	0.858420122	0.942498433	0.947957182	0.937709368	0.956559283	0.907047867	0.94855866	0.951126631	0.935061408	0.95860637	0.956960325	0.957175026	0.9425119	0.945910178	0.961188446	0.951690076	0.942579775	0.947328495	0.957776161	0.9399303	0.942806782	0.954030344	0.965174303	0.940719928	0.946819288	0.945201914	0.950352398	0.930740559	0.947194732	0.939876852	0.932398525	0.897349098	0.895034643	0.8869933	0.909216095	0.912814781	0.902832724	0.885643043	0.815101183	0.892131086	0.900251068	0.896933025	0.898404925	0.902459715	0.901095545	0.894806975	0.838044498	0.771984679	0.811061824	0.896491731	0.89123403	0.904571864	0.915048115	0.924546225	0.946646707	0.795020227	0.757990456	0.729803505	0.884811079	0.887046271	0.885775342	0.880466069	0.900894636	0.878781754	0.90351597	0.905161088	0.89299905	0.960880038	0.947087141	0.945789759	0.898552319	0.894017408	0.875850693	0.90196392	0.892143871	0.900224718	0.902726482	0.88641953	0.886149725	0.98510863	0.984694349	0.979984926	0.906486446	0.908599723	0.90841344	0.922927799	0.923610286	0.91958382	0.907717329	0.913268806	0.909055254	0.959222008	0.957483083	0.968011517	0.939476026	0.936184399	0.900787388	0.906285838	0.90078748	0.896038625	0.922661163	0.936225864	0.921577264	0.90319588	0.914152322	0.949724115	0.960212504	0.94233943	0.970647571	0.970687175	0.963609549	0.974366038	0.921858111	0.931917727	0.910219125	0.910151781	0.908787354	0.918312806	0.96457334	0.978847495	0.984586732	0.974821105	0.979222534	0.970593655	0.978860825	0.978607349	0.97705528	0.910125435	0.908118635	0.893309017	0.903703583	0.908198834	0.906018075	0.95953013	0.960413173	0.955529689	0.981603689	0.987383454	0.958566731	0.977015197	0.969737358	0.959984931
N_JL_T_1	0.919196266	0.936560748	0.93519438	0	0.710106602	0.406383533	0.682026234	0.379981483	0.36877113	0.527322497	0.515041787	0.48575865	0.532072231	0.569489208	0.504245864	0.559381347	0.578826164	0.528513547	0.520966882	0.520861266	0.52294875	0.60073582	0.857534289	0.526265307	0.53121498	0.517341586	0.547390051	0.528821555	0.51892319	0.541918934	0.506744792	0.5704513	0.542051267	0.540032972	0.562265115	0.534895078	0.535737639	0.521543864	0.534452569	0.478983579	0.515105527	0.482676232	0.501846852	0.534085422	0.831797513	0.47171436	0.489015424	0.531643406	0.47224148	0.469017887	0.411351233	0.380846702	0.346237847	0.883209633	0.885229761	0.695399821	0.865244149	0.894929915	0.725459337	0.817230781	0.849095954	0.59914786	0.578786735	0.575482765	0.574706892	0.62841675	0.636283006	0.612750316	0.842487734	0.906058162	0.904319157	0.599334465	0.575455437	0.495284123	0.401023286	0.401907697	0.605581968	0.897456838	0.90296823	0.914058767	0.592297675	0.606478665	0.571268581	0.856266125	0.865605065	0.856748661	0.740389198	0.708871211	0.581301478	0.501829745	0.494651864	0.498960937	0.5762716	0.900079468	0.894192535	0.593688954	0.697807618	0.696844288	0.791679659	0.891985699	0.87869916	0.973869887	0.974512368	0.970150833	0.8267265	0.85083353	0.839784163	0.852987698	0.913508582	0.911194551	0.843770483	0.895808547	0.870459134	0.915233467	0.91934077	0.954992446	0.891742746	0.896798576	0.872599514	0.832333274	0.836814299	0.840533626	0.945696842	0.950832753	0.950927622	0.929669258	0.947194281	0.959422074	0.952104318	0.955622744	0.968331872	0.955327048	0.943301199	0.958110707	0.956465635	0.955046932	0.93649225	0.870871339	0.854229825	0.907581204	0.970365349	0.959648905	0.965521041	0.963235293	0.976934269	0.934138513	0.972183603	0.983622916	0.950566102	0.885483344	0.870272716	0.904787301	0.755999627	0.850512147	0.721713325	0.943194856	0.941361929	0.938806101	0.97952925	0.9829008	0.949160588	0.972371478	0.96105332	0.9485059
N_JL_T_2	0.919289247	0.938526771	0.936345226	0.710106602	0	0.709409784	0.713044628	0.746873583	0.713470422	0.779610156	0.758311782	0.760974369	0.784319633	0.778098883	0.77186428	0.765132429	0.794405974	0.782112402	0.756731222	0.782940994	0.784118704	0.768087904	0.837962142	0.763086783	0.604001011	0.735608895	0.790070807	0.742993724	0.759022061	0.777469586	0.744328375	0.788439643	0.774711691	0.785938986	0.769201407	0.789576788	0.787222208	0.781951067	0.773028552	0.7359394	0.754440131	0.750714342	0.758901973	0.772385369	0.87821675	0.70601611	0.762887177	0.782580268	0.743537083	0.728031454	0.75979761	0.72733005	0.730847703	0.914806693	0.931904187	0.819771892	0.913738233	0.933443744	0.844011722	0.87185122	0.868024705	0.787249637	0.786674153	0.781938528	0.786861583	0.781415863	0.775168578	0.765066152	0.877416551	0.915502409	0.899476012	0.790473159	0.780279361	0.757658453	0.722258926	0.736158302	0.761656101	0.910994552	0.931850367	0.93185046	0.75939626	0.789670084	0.788560376	0.894043528	0.874406076	0.870138546	0.84421292	0.81274765	0.794834764	0.780251642	0.718001517	0.758110048	0.790821755	0.931797061	0.924666431	0.791569931	0.807624063	0.818259062	0.850126115	0.92881407	0.918659929	0.978966528	0.979782263	0.976451157	0.847314409	0.865962948	0.860545115	0.868049904	0.926417791	0.923795522	0.86390266	0.914509904	0.88918709	0.919206871	0.923888932	0.958591523	0.908945133	0.914483302	0.887862104	0.868919889	0.868411622	0.866458611	0.960678811	0.96216339	0.964852759	0.940170341	0.953736132	0.963569037	0.959247566	0.960852725	0.968960299	0.961641458	0.951889191	0.964010124	0.961441962	0.962190595	0.944398341	0.879697617	0.874082365	0.922830919	0.977989919	0.969936103	0.975126583	0.969789826	0.977643183	0.957228222	0.976277133	0.984545999	0.964063671	0.897147751	0.888171303	0.918739935	0.79976876	0.863715356	0.813240764	0.957655317	0.954177182	0.951809234	0.981120855	0.98295389	0.954069819	0.974164298	0.966176851	0.95488639
N_JL_T_3	0.92641922	0.924199246	0.924185166	0.406383533	0.709409784	0	0.634009102	0.324033218	0.340541981	0.473850359	0.450946798	0.442345089	0.48643822	0.509314963	0.455174695	0.521380977	0.57534643	0.479041212	0.444725284	0.464446183	0.476646298	0.594445868	0.856755465	0.457554478	0.493997266	0.4958956	0.503535971	0.544523569	0.443057469	0.497931752	0.456549717	0.48439108	0.45292558	0.460635263	0.494853743	0.47314145	0.46005867	0.474439681	0.474466619	0.407559043	0.421833552	0.437250389	0.438736375	0.457543665	0.87980878	0.430237849	0.413157297	0.430747304	0.410942304	0.396467823	0.37838718	0.307729521	0.32074433	0.873136016	0.871343231	0.656176045	0.847344595	0.886715479	0.685981448	0.793591997	0.834246317	0.616363114	0.592710724	0.591346676	0.593634865	0.596015075	0.622061878	0.558621944	0.826702103	0.891088662	0.892908192	0.62298487	0.594610984	0.447778256	0.33866846	0.318094563	0.564751936	0.875249694	0.895984551	0.90759647	0.626422179	0.63487737	0.59063813	0.833791009	0.86052026	0.856640817	0.717900221	0.701833271	0.597661917	0.482975388	0.440349091	0.416551825	0.591828121	0.895209327	0.879316588	0.618302061	0.661017537	0.650690805	0.755667039	0.874996135	0.87761782	0.975929653	0.976879902	0.970110493	0.812011312	0.839207806	0.828867697	0.843221786	0.903367952	0.900987307	0.830325734	0.87701286	0.855837188	0.91011068	0.914712446	0.94961572	0.882044284	0.885160094	0.863128001	0.820881691	0.824881893	0.828172868	0.944425559	0.944625605	0.941602882	0.916278555	0.931034399	0.942312051	0.948238285	0.941843875	0.961977512	0.951541713	0.937909987	0.951153956	0.939128413	0.939729713	0.921456306	0.855364854	0.805615155	0.894296658	0.965589136	0.957829827	0.964706178	0.959796655	0.971837595	0.933028078	0.96803657	0.974299177	0.939596833	0.871972076	0.857216002	0.89122317	0.744199278	0.842018014	0.71242881	0.947207746	0.942833159	0.940812984	0.973228181	0.983743754	0.946472351	0.968545747	0.964250747	0.946713376
N_JS_NX_1	0.922646565	0.920346429	0.945749587	0.682026234	0.713044628	0.634009102	0	0.698848029	0.680414741	0.727263386	0.690659301	0.715180174	0.739611925	0.658582573	0.732881671	0.592139353	0.752733786	0.727156109	0.560219021	0.736626911	0.729363285	0.74374021	0.888864112	0.687912512	0.724023765	0.700170782	0.735356447	0.727086653	0.695932042	0.727756887	0.709587195	0.741001829	0.560276444	0.735155865	0.616348285	0.734861937	0.721511292	0.743931017	0.738379042	0.690263828	0.60294848	0.727624941	0.721297856	0.568885275	0.876691072	0.695487282	0.709203268	0.678688822	0.703803267	0.700336651	0.707142831	0.620014354	0.701269952	0.915529233	0.934044572	0.802608275	0.916962107	0.94176483	0.8302194	0.873924639	0.877375494	0.742607698	0.746460693	0.740574227	0.743451743	0.756934873	0.736226217	0.631329454	0.890259394	0.922700048	0.922191842	0.752841602	0.740146523	0.720522335	0.702056786	0.648907564	0.354371396	0.925108424	0.940452346	0.944385841	0.751249883	0.73792608	0.74654134	0.906472098	0.889951815	0.873938435	0.825630967	0.772801919	0.754755384	0.730819293	0.681704917	0.693642006	0.754126219	0.93946292	0.933415693	0.753885538	0.789698034	0.800426853	0.851544197	0.930472928	0.925656908	0.950015285	0.95871118	0.958309464	0.839058687	0.853211811	0.848704818	0.843887915	0.905839619	0.903686843	0.85071038	0.906159756	0.878938569	0.907111178	0.910429234	0.948957643	0.887753411	0.891845149	0.872409327	0.843780831	0.845172178	0.846738116	0.933680489	0.933479705	0.940022835	0.935927354	0.948555938	0.958577291	0.944958265	0.950830692	0.956316536	0.941439281	0.933947703	0.942014784	0.957681335	0.959259067	0.936797832	0.867589296	0.859458349	0.902663956	0.964704804	0.934162139	0.940368988	0.954496982	0.969575315	0.943313396	0.962255574	0.974297502	0.953440473	0.886965807	0.87123344	0.903902553	0.764209544	0.854001419	0.762979791	0.929880972	0.935579723	0.941117995	0.968156147	0.967340877	0.938121783	0.959152237	0.9522355	0.93754723
N_JS_NX_2	0.927985134	0.960814824	0.939020928	0.379981483	0.746873583	0.324033218	0.698848029	0	0.233260873	0.386314618	0.413689461	0.38309384	0.410903822	0.511573987	0.398597596	0.548700375	0.527556516	0.396884067	0.422331517	0.391732594	0.392602922	0.603210356	0.882551435	0.407734842	0.421418857	0.410354451	0.418596738	0.503491446	0.403843452	0.416699167	0.408403531	0.462021489	0.422878916	0.423908972	0.483934593	0.417688354	0.419079022	0.408964884	0.422021541	0.386586622	0.40884827	0.387497218	0.409236395	0.426037737	0.884639783	0.385143303	0.379885802	0.410583167	0.371924732	0.365477005	0.242022527	0.296034725	0.223565891	0.882459503	0.883837751	0.675290822	0.861523774	0.898835187	0.70494908	0.806754519	0.859904048	0.583224188	0.561886482	0.56908448	0.540442684	0.614274879	0.650662362	0.621390438	0.8456978	0.913830894	0.918432794	0.573847025	0.55426193	0.387106781	0.301020685	0.318639903	0.607050676	0.900024677	0.918914716	0.924105277	0.583665344	0.577979372	0.542663544	0.858486252	0.872159085	0.87479414	0.734005596	0.70874851	0.548214951	0.411845965	0.383455172	0.378465109	0.561217691	0.909389225	0.895276119	0.565069967	0.672601401	0.66964493	0.777109972	0.882273249	0.890352712	0.952423897	0.95310648	0.945641742	0.807190794	0.832596128	0.823875284	0.835366798	0.897947609	0.895820952	0.826831268	0.878295695	0.856183068	0.903593024	0.907325012	0.944703307	0.861894731	0.866991585	0.841908403	0.821574499	0.826685249	0.830698798	0.936343529	0.939567007	0.932798645	0.915500622	0.932771492	0.942751893	0.923112907	0.940464303	0.958805782	0.926724581	0.913333488	0.933333432	0.941547971	0.946684057	0.922096526	0.843393878	0.829253258	0.870831579	0.955742256	0.922965275	0.933359951	0.95096608	0.968010204	0.917842394	0.944182659	0.954726038	0.914966231	0.870418205	0.851729095	0.890498527	0.732262519	0.836702959	0.700091513	0.926831576	0.926028943	0.923847761	0.969013714	0.972920044	0.931808113	0.963113129	0.955473575	0.934765237
N_JS_NX_3	0.923623883	0.930901812	0.940117732	0.36877113	0.713470422	0.340541981	0.680414741	0.233260873	0	0.439411103	0.434839768	0.427120277	0.458276072	0.515212598	0.446303194	0.530694194	0.532802037	0.441633424	0.441021225	0.444361839	0.439639642	0.597994087	0.855368164	0.436431415	0.445767013	0.422045288	0.466998029	0.487345761	0.416966146	0.458932724	0.451440706	0.492576873	0.452498161	0.460832269	0.492082402	0.465072673	0.447226552	0.45968019	0.466623207	0.422092408	0.440606907	0.433784419	0.440099029	0.452860974	0.880733252	0.426039731	0.42265508	0.431974957	0.420433177	0.407604202	0.293621812	0.300250043	0.257440233	0.885563346	0.890138531	0.676937278	0.866982257	0.906300174	0.707825907	0.81504898	0.846806799	0.588495566	0.563599686	0.572094458	0.550315705	0.611465794	0.635372016	0.597364491	0.833671001	0.915944234	0.914365701	0.57638924	0.563279028	0.434291132	0.34106131	0.315992006	0.587319596	0.899128171	0.913389152	0.925174669	0.562075003	0.58690357	0.550850812	0.845589811	0.854593637	0.852600397	0.736373761	0.710849028	0.554904664	0.460555003	0.425783597	0.411923326	0.563278799	0.913951127	0.900773794	0.566997482	0.674863177	0.672240447	0.781698595	0.887677606	0.89618509	0.955714837	0.956504465	0.949387418	0.810803479	0.829758262	0.82519926	0.832209077	0.896516561	0.894281967	0.82728634	0.878589349	0.856810925	0.903111669	0.907700214	0.944876859	0.86659033	0.871833199	0.845493088	0.821079986	0.82751471	0.83198315	0.936424126	0.938175772	0.939005986	0.917694173	0.934282974	0.94374208	0.929720882	0.940316996	0.956624619	0.933721006	0.918403409	0.934189206	0.943581515	0.9463764	0.924196186	0.855286472	0.830203456	0.882750952	0.957654766	0.937800908	0.942751133	0.952932629	0.966591902	0.917708299	0.952356303	0.965722698	0.927019583	0.87131466	0.851688756	0.888999956	0.735929403	0.832608004	0.700372361	0.930764572	0.927526928	0.928409271	0.966872814	0.970177394	0.930323352	0.961092853	0.952276134	0.932945422
N_ZJ_NB_1	0.948132017	0.975824669	0.955515933	0.527322497	0.779610156	0.473850359	0.727263386	0.386314618	0.439411103	0	0.15266207	0.187832305	0.086666224	0.510409546	0.176661084	0.564954042	0.538005969	0.111616228	0.413636743	0.137917733	0.110050947	0.62198065	0.903073276	0.135525157	0.292940565	0.277862	0.091350356	0.50681056	0.191607955	0.186468687	0.227095823	0.227816235	0.253315852	0.167886165	0.479333883	0.116662001	0.123323769	0.199228986	0.175002213	0.186242829	0.200999772	0.18561374	0.200972111	0.274750167	0.887703554	0.255782171	0.187434514	0.266237806	0.188797822	0.257786482	0.307853546	0.458519836	0.415148929	0.91849963	0.931221943	0.68280951	0.889550429	0.938794531	0.705122811	0.847463545	0.898352441	0.591840279	0.565445414	0.574756806	0.516924395	0.624281866	0.664280873	0.641939422	0.897523463	0.934098569	0.938941579	0.560081909	0.556643023	0.336753321	0.45610938	0.467948781	0.658582001	0.932747264	0.953028051	0.95627877	0.586996861	0.586796454	0.535144957	0.915462147	0.917349073	0.909991785	0.739797848	0.721096309	0.540938214	0.133350048	0.14681759	0.1289706	0.564200967	0.938834453	0.933041499	0.544268491	0.679612003	0.675758624	0.793524679	0.93545018	0.922272404	0.971487729	0.972290326	0.968357127	0.833037797	0.856221261	0.842081693	0.865800371	0.924957837	0.923071307	0.848489305	0.89829515	0.875513292	0.912355793	0.91909787	0.950563121	0.903512756	0.912099914	0.882990929	0.839180759	0.845735596	0.852251322	0.96542766	0.964436788	0.965948926	0.938403129	0.955620847	0.968825537	0.9616006	0.964169785	0.967153432	0.957319574	0.952958318	0.954938559	0.965588397	0.966791223	0.949520818	0.887139069	0.833294355	0.914215292	0.969588058	0.958818316	0.963553846	0.963956039	0.977588926	0.963567238	0.965493462	0.976009977	0.954297196	0.890337685	0.876063441	0.912611891	0.760464117	0.857947498	0.71754848	0.959514092	0.953052208	0.95433622	0.974069918	0.979702809	0.955861069	0.971340282	0.968610296	0.958711354
